feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target
432.4759536476851,289.37301618146694,481.31559951154793,358.7555663240422,802.6590044186258,176.76117676679812,72.64810158429084,720.9691788506183,36.32768434054993,83.76887803156026,659.3909229202309,4.385847644254323,516.7894575943628,19.624422175316028,13.162439877474508,42.351947718562776,35.92039198427943,20.755984469696664,13.814300269079927,384.49713555987285,14.364922076194652
517.596250100586,330.44834063564866,585.9200549413265,22.68403093112646,169.81323980738316,335.60164035051304,284.4514760920573,748.1010467722031,73.70143807888398,358.14721500851056,11.036951724617557,5.563333723501073,2.9600640080850975,20.72187846557668,17.740183840248363,1.726914654434065,167.57606478538216,75.49267932513854,2.4809792575688903,303.71086900114426,19.984800974263255
189.43935039000513,553.8888198542884,165.8337901608148,202.46592715157522,176.69558564149125,321.15504895860124,407.27838941686593,161.24566829584063,282.2690254489578,221.5708988954137,143.91956207268413,4.536947485242489,581.8237410292664,101.69563911707488,0.6535918186439443,486.8590841077754,117.49154789432762,6.420464881416624,20.713313819413415,22.65153719578083,12.944351240224535
237.30787790058756,195.89488120665155,416.7522522090691,468.7290310159736,611.693517273912,301.4117105478492,241.8806554830271,49.59704382026057,122.39682149561916,13.828319466106192,677.1619070748645,5.51896752782389,45.014729455684765,196.3504547571919,47.6385148118248,411.4142131767323,67.1420224127044,115.63094280292812,8.92795684326983,388.24043330185145,14.79243960555331
602.8452560886533,16.103208465844116,221.7599787822339,345.7655739576951,558.5883692984405,276.7042411183834,408.06956609921997,19.39081275595906,138.76976494990146,146.66219341614368,311.7475650992482,2.1362139235917197,133.59042964408945,197.63458390999796,26.278027432778128,111.12755653440396,172.18113561482704,85.86964191350388,30.53785703042433,625.9318373725622,11.802633596982094
888.491500893716,403.68985637273374,417.72982552691354,344.5026698724688,361.1039438824405,292.0585814712955,259.38478829284026,302.26433996600576,143.10352612631453,224.03766502310788,601.5843165940927,4.472591036891351,768.4293865899914,202.3404046614406,49.47293278466113,560.1704630334049,67.84708793352915,23.812372734106592,33.04131179859748,270.38076139520155,21.271252545482213
598.4923275773256,194.75078728213663,526.9636995930771,141.26169977085985,275.8227702176814,601.5122915096631,404.5486004344769,596.5476614729308,250.74088645183983,283.921962803062,230.47159455004996,1.4785276564990906,112.49146755880405,105.72614861461193,14.406921860005092,276.84809873423603,7.063479469048546,54.280853089617544,31.462051130359814,39.312930577981334,18.748664639960708
683.5524324581644,447.5491986979137,471.1801435745666,240.92315854772752,821.1376470010958,73.28476710743311,40.09201957301931,85.72861410639815,222.41693695528147,92.10033146166455,163.2165537012588,0.20556143312873923,134.06800529151968,68.42727402886533,40.01776116858764,394.6568413852013,121.08291045399432,81.74273960889153,42.296811055291435,145.6730964309639,12.61948522321379
471.844457919483,316.66218259635656,182.91431959485453,458.58943177852666,481.46238330912263,636.4870804624317,233.81327515568128,461.55798795619893,11.392763032085236,306.0051684830399,132.737733535354,4.262222763335096,860.4957010080597,153.03199159169412,33.345972329315664,206.00808313007744,83.45235128673437,14.446634757489262,38.845690581462975,807.6625183298204,17.859261942468144
391.1529958901962,466.5670560686196,338.5449070852301,394.92479987876067,702.219452711517,348.6383877532478,393.85856533277246,766.2582804553061,185.3866108515271,63.35607541161268,675.0893884905175,1.8089479009008462,499.1921551240012,178.23772019068636,52.85355023778864,69.06395609490117,11.331293536081136,136.70954200514905,47.269548874135744,394.9465063377249,13.513936022935034
